hidden_size,num_layers,dropout,lr,f1,accuracy,precision,recall
128,1,0.0,0.001,0.618791449634247,0.565810802048888,0.5507562131076938,0.7060046114376644
128,1,0.0,0.01,0.48633333938722506,0.541545094988005,0.551714191527938,0.4348066118923132
128,2,0.0,0.0001,0.09111078242863482,0.5019613564157427,0.5112881806108898,0.050011366219595364
128,2,0.0,0.0005,0.5383926912879747,0.5569117551708488,0.5608288770053476,0.5176825901990713
128,2,0.0,0.001,0.5425075320216114,0.5594080269727031,0.5631027253668763,0.5233656999967525
128,2,0.0,0.01,0.5468618208881171,0.5558743435129352,0.5571919654893502,0.5369077387717988
128,2,0.1,0.0001,0.002977057243633304,0.5005673345004215,0.41818181818181815,0.0014938460039619393
128,2,0.1,0.0005,0.5101983401322268,0.5484665758931466,0.5563096744507074,0.4711460396843438
128,2,0.1,0.001,0.5157461071154249,0.5503468845231149,0.5576233437771319,0.4797194167505602
128,2,0.1,0.01,0.6359860397839616,0.5553556376839784,0.5377210304281482,0.7781963433247816
128,2,0.3,0.0001,0.0018135889630157393,0.5003890293717176,0.32941176470588235,0.0009092975676290066
128,2,0.3,0.0005,0.24870945373295322,0.5258218245477534,0.5945481335952849,0.15724352937355893
128,2,0.3,0.001,0.5653312177707259,0.5559391817415548,0.5527115909655002,0.5785405774039555
128,2,0.3,0.01,0.5870022241857348,0.5605589055307009,0.5528422623317742,0.6256616763550158
128,3,0.0,0.0001,0.6659815894512532,0.49946508461388833,0.4993025594446427,0.9997077257818335
128,3,0.0,0.0005,0.0,0.5008591065292096,0.0,0.0
128,3,0.0,0.001,0.4962804954559306,0.5444952343901964,0.5538529247019285,0.44955022245315496
128,3,0.0,0.01,0.5923498249079644,0.558451663100564,0.5493075022898221,0.6427110057480596
128,3,0.1,0.0001,0.6142982278822182,0.5360662646696492,0.5250161245738505,0.7401682200500114
128,3,0.1,0.0005,0.5003112273026374,0.544560072618816,0.5529957540493788,0.4567921280810574
128,3,0.1,0.001,0.48924963924963927,0.5410101796018932,0.5502495232685519,0.44042477186373524
128,3,0.1,0.01,0.5924843978223343,0.5522758218245477,0.542881090142216,0.6520637807293865
128,3,0.3,0.0001,0.0,0.5008591065292096,0.0,0.0
128,3,0.3,0.0005,0.2073787642026644,0.5148965830253518,0.5621769098219415,0.12713928490241289
128,3,0.3,0.001,0.5071119356833642,0.5478344031641056,0.5561584373304395,0.4660150034098659
128,3,0.3,0.01,0.5935332471891756,0.5563930493418919,0.5468852638493541,0.648881239242685
200,1,0.0,0.0001,0.5719237986197245,0.5636387213901316,0.5603402611161312,0.5839963628097294
200,1,0.0,0.0005,0.506761119412622,0.566605070349478,0.5866148458187409,0.44604293183515736
200,1,0.0,0.001,0.6174961593089655,0.5721973675679181,0.5575971731448763,0.6918130744000259
200,1,0.0,0.01,0.5237775134874261,0.5521461453673085,0.5581104907434616,0.4934238300912545
200,2,0.0,0.0001,0.2785648482434081,0.5303280814368151,0.5970117395944504,0.18166466404702367
200,2,0.0,0.0005,0.5593592559100892,0.557673604357129,0.5562871366629195,0.5624654954047998
200,2,0.0,0.001,0.5868375465652834,0.5631362251183297,0.555781404262733,0.6215698373006853
200,2,0.0,0.01,0.5969201413216857,0.5617097840886986,0.5517250881834215,0.6501802357678693
200,2,0.1,0.0001,0.03548255649938877,0.5012157167866174,0.5099099099099099,0.018380800831357777
200,2,0.1,0.0005,0.514010211887776,0.557203527199637,0.5683821214982688,0.4691325950703082
200,2,0.1,0.001,0.6037984507475362,0.5614180120599105,0.5498159901861432,0.6695352839931153
200,2,0.1,0.01,0.5652048747720948,0.5593269791869286,0.5568335801846658,0.5738317150001624
200,2,0.3,0.0001,0.013520038628681796,0.5032581209881346,0.7720588235294118,0.00681973175721755
200,2,0.3,0.0005,0.5393515789473684,0.5566524022563704,0.5602127212931215,0.5199883090312734
